address,veth2_bal
0x375f95fb45811ace248adc5baee5228d91ffca50,1927975077881619937695
0x12818d6c296cc113840b32ea5cd56a46d0c5bf14,1383817769292753141791
0x25431341a5800759268a6ac1d3cd91c029d7d9ca,1244281469355513649089
0x220abd48f2b444e1a352b6927c885c4579738081,838038181422924038664
0xaf297dec752c909092a117a932a8ca4aaaff9795,657719570223766735537
0xc9f9f6cfd655417acb8d1bb00fe77ad9a6d9ca81,638006230529595015577
0x4c135c941b642904783abd9ed06d86ce00b45105,599497311117370848529
0x38d0dbecda3b81faa65cdce0cae4c4db30dec786,465494693756235916773
0xe6edc829cdd57a94ddd759a178840bf5ead1d60d,458232021760397712294
0x855c4dca95adb9ce63f09b9899882c50ad9cfc8f,331962616822429906543
0xa796cf39340575f7fecc27f75f328f290960ccd8,312356872359954117657
0x4ddce06e259a2e583a3b2425e0a135f45b323e75,280428003976645702853
0xd6760bdef7e06640988559159bb579b92fe2ec4c,260000000004379473794
0x837418516c2ddac24ca71df021101c2ad699f5dd,247025913566414865924
0xbd1eb910a8e77d75d7e334f7adb7660750d7bb45,215804275831272259100
0xc292eafd5422a9c961cc2630cbddf04c93db33bd,168263027684201230851
0x021daee385bd0acb6d72c05b03abc1bc81f64970,168248622470719115816
0x282742940ee0b7ed028bb48052bb4922282234da,167670437606639438691
0x81b47c0803e94768bdb05b9b00b18d609579dccb,164019705771871763185
0xcc6b5cbb0b32775c11769ceb5b961a51eb026620,150001246105919003116
0x37f722118b11a3c9baedfef1dca3423d56a19e58,147505018894692078846
0x549c0421c69be943a2a60e76b19b4a801682cbd3,139435597784578866552
0x1d5e65a087ebc3d03a294412e46ce5d6882969f4,135196362811424463464
0x0085d428ac99c42b30cb38373b1c233846891c9a,133019474279056074767
0xa6fbeaac65de6d6fc900d95932d9320aad9128f0,114898837721172571595
0x013c7a3c90f3e4642493c235892ef3a8e5738b77,109657320872274143303
0xc255e0a1be0a4b7b8bf5ebe8d0aba162cf75bae2,108699060756443918970
0x66ca70f1a348bdc66bb201e09eae4009d1d1e7e8,94080985676866301335
0x4e65175f05b4140a0747c29cce997cd4bb7190d4,90706672527580611855
0xf5bce02e24313618ed2e8318dee2b86bf53cd53c,90000793974040693811
0x45c1fab28ad1393bdf34bf27f50d0cf70f09b271,89364358683159133980
0x2321f612a30970269a9b2813c622c98d31903963,86370394694851444247
0x4b581deda2f2c0650c3dfc506c86a8c140d9f699,77987293439467229274
0x24d734a75166e66000c8d7f12a173e41358e3cc1,64797507788161993770
0x535b24392402226627440501acfd62bb57cc2512,61997926579439252339
0x3b15cec2d922ab0ef74688bcc1056461049f89cb,59680715733404310882
0xed18d1e55c4bba34abdf950119964ae3a9a10e04,56626790545546618290
0x7ed716a3c0a634fa033cad0e53bc5fdbc838e23b,54828660436137071652
0x4b0632d547c56a874fe48d8af659a8d6c2045710,53831775700934579440
0x60be6061804402be92fbef1fc3027481b58a4dd9,52998353943127505081
0xe9b05bc1fa8684ee3e01460aac2e64c678b9da5d,51166799925619418199
0x7d89900543fb8723c21faecefeb6e7fc96f8a2ad,50000064175326815458
0x0f7d716eeeac23f33fbc7dfeec43ee94435158e7,49844236760124610592
0x4165fa8368c95b50a7ece227dca2f7490689f0b7,49844236760124610592
0xff45f53a08c131b5966d50ffe1eedaf8cad1ae47,49844236760124610592
0x336886353b4a5020904a1502fd392555c0e1d042,49563954661900938838
0x2a27701cc0b411805617ad9c130ae9d488073136,49392980218616977929
0xfe51263bd0d075dc5441e89ecd1f6d63ff41e02e,48738657385210269170
0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e,46513152622492945706
0x84b7644095d9a8bfdd2e5bfd8e41740bc1f4f412,45566322777631019645
0xd5400fbd57be428ae186cde13f5ce70b3199c7fb,43634165198525503072
0xc39f920ced82a75918455d98f28ef0701fea8425,41585538930977882973
0x5fb6e7e6cd299449a02fe47cccd5cb70ff9dc632,41084450978804474003
0x5d33d8322ec6e9a789200cc144245a13015e5172,39875389408099688474
0xac2ab9b32339b9ce6589b93e140bb73c4c255128,39875389408099688474
0x2cab3506ad7cee6fe29f3a4695f69488baad98ec,39837764463233677877
0x878a53cdffcf91c8c4f35d6595c2ecc6040eebb9,39376947040498442369
0xfc07c2b21839396d3f18384a360576796ae95b3b,38878504672897196262
0x006fc62334b3fbba68d9f599bb680995010f140f,38859780687872026252
0x492f38a5566a696d5af8ac592902291816d44409,38158810547135248891
0x736dde3e0f5c588ddc53ad7f0f65667c0cca2801,36837697047736053028
0x383a5e260411d7e91e4dde7de0622d52c7c7f9c3,35382444161697282208
0x995e2cfde1de48309d6b1b860cbba8cb01c0f2d6,35340909057512591016
0x57cffbcfbd17ee93fdb44c8f77e07e3a9f707127,34760432263000000000
0x3302bf726082fc8f3adb9c2f85279c73812f9b00,33890965732087227415
0x755611a5f073138dd9b60131122051526629982c,33843822077850423010
0xf2cca9499fa00dcbf70c80ae7c0a129904385963,33148324093262538538
0x1813da50890f5ba64fe9b7c56ce69c1388c59112,32760855896518764259
0x29687e2a2b38bbc1f4f9069f1f24f13a3c83d27d,32686763951627985005
0x996ebc864b11444c26f2fbb779cb1d26086ff20b,32402124706988589324
0xf87766e79a11c77b3472dbe3aa45795f579564d4,30674000000000000000
0x2d3624cbba3c416e77e6a4fc1d795bc61cb484cb,30581425578641448067
0x6c4d27d3ae62b6c1eaa9b732377f7ddf3cf2b1e6,29455202863197333629
0x829148aba1177c4b6a6a3dbca3e165fd34094e1b,29062058678171761065
0x35ffc49e7fefc188dff81db3c717db098294bc23,28744743055587821473
0x4e7e322cedd9c7c4a80fceb01f6a1e8b872a99c4,26016782506504298986
0xe9aee0ae983498caeb04dfdce57d79079bac8cc5,24907869037665493079
0x3113558ea6918c3ae1d9247d1d7a3f9eff5888d8,24896476175745946537
0x6e93dd71b24e02233455a37438c553ede66eba89,24725695756669959891
0x99655b07f321b6b5a2809f43e1a143d7f7a1634f,24601347646824726644
0x19b221f64b8ec412451f73b45e919444e4a62d26,24559573392987562438
0xdbeade0fcd8720be521fd2e04eaf00974f4c2e3a,23946527494086215900
0x1b51cce51e2531c478daa9b68eb80d47247dcbec,23925233644859813085
0x18b3eedadc9a4a6d35905d4a416dfff239f067d5,23570796172537113169
